case,T,J,value
baseline,T1978,HR_S-near,0.00702641878669276
baseline,T1978,HR_S-far,0.00702641878669276
baseline,T1978,HR_M-near,0.006269790454016298
baseline,T1978,HR_M-far,0.006269790454016298
baseline,T1978,HR_L-near,0.0056632492113564675
baseline,T1978,HR_L-far,0.0056632492113564675
baseline,T2098,CHP_coal,0.5880362264150943
baseline,T2098,CHP_muniwaste,0.19480901077375123
baseline,T2098,CHP_natgas,0.5510247349823321
baseline,T2098,HOB_elec,0.041174747474747475
baseline,T2098,HOB_gasoil,0.2589902912621359
baseline,T2098,HOB_muniwaste,0.14488636363636362
baseline,T2098,HOB_natgas,0.1974757281553398
baseline,T2098,HP_ambient,0.017294442087399234
baseline,T2098,HP_industry,0.01403684573002755
baseline,T2098,HR_S-near,0.013295172863666016
baseline,T2098,HR_S-far,0.013295172863666016
baseline,T2098,HR_M-near,0.01186350407450524
baseline,T2098,HR_M-far,0.01186350407450524
baseline,T2098,HR_L-near,0.010715825446898003
baseline,T2098,HR_L-far,0.010715825446898003
baseline,T2218,CHP_coal,0.5880362264150943
baseline,T2218,CHP_muniwaste,0.19480901077375123
baseline,T2218,CHP_natgas,0.5510247349823321
baseline,T2218,HOB_elec,0.03170808080808081
baseline,T2218,HOB_gasoil,0.2589902912621359
baseline,T2218,HOB_muniwaste,0.14488636363636362
baseline,T2218,HOB_natgas,0.1974757281553398
baseline,T2218,HP_ambient,0.013654197477163985
baseline,T2218,HP_industry,0.010709996588195157
baseline,T2218,HR_S-near,0.010142487883683361
baseline,T2218,HR_S-far,0.010142487883683361
baseline,T2218,HR_M-near,0.009049005477082733
baseline,T2218,HR_M-far,0.009049005477082733
baseline,T2218,HR_L-near,0.008174739583333335
baseline,T2218,HR_L-far,0.008174739583333335
baseline,T2338,CHP_coal,0.5880362264150943
baseline,T2338,CHP_muniwaste,0.19480901077375123
baseline,T2338,CHP_natgas,0.5510247349823321
baseline,T2338,HOB_elec,0.02467171717171717
baseline,T2338,HOB_gasoil,0.2589902912621359
baseline,T2338,HOB_muniwaste,0.14488636363636362
